session,roi_idx,best_cpos,best_cneg,combo_label,best_dist_norm,best_med_neg,target,noise,skewness,snr,bleaching,sustained
804670_2025-09-27,254,2,5,"(2,5)",0.1387,117.098876953125,97.1120912475586,144.08322143554688,-0.3696637749671936,7.127133846282959,1.253554105758667,2.703709840774536
804670_2025-09-20,194,2,5,"(2,5)",0.1385,118.37451171875,98.19864062500001,145.6953125,0.23868797719478607,6.066582679748535,1.053109884262085,0.6506206393241882
804670_2025-09-27,270,2,5,"(2,5)",0.1383,124.808837890625,103.55460400390626,153.641845703125,-0.016339151188731194,6.292018890380859,3.017210006713867,0.780755877494812
804670_2025-09-24,96,2,5,"(2,5)",0.1382,82.591796875,68.53456735229493,101.68333435058594,0.1335795819759369,6.567046165466309,0.37547290325164795,0.7515604496002197
804670_2025-09-13,128,2,5,"(2,5)",0.1381,82.82745361328125,68.74111457824708,101.98978424072266,-0.20733162760734558,6.545927047729492,1.0440974235534668,0.5749251842498779
804670_2025-09-23,130,2,5,"(2,5)",0.1381,181.298095703125,150.46758950805665,223.2456817626953,0.13777650892734528,9.616957664489746,-0.5128125548362732,0.6387563943862915
804670_2025-09-24,220,2,5,"(2,5)",0.1373,261.3486328125,217.10998742675784,322.12164306640625,0.3211665153503418,11.136882781982422,0.09711786359548569,0.7873154878616333
755252_2024-12-19,226,2,5,"(2,5)",0.1372,127.88916015625,106.2632024230957,157.66053771972656,-0.021067213267087936,5.9558491706848145,1.4145913124084473,0.9605595469474792
755252_2024-12-19,510,2,5,"(2,5)",0.1371,74.90802001953125,62.24252085876465,92.34795379638672,-0.07642815262079239,5.174429416656494,0.7753795385360718,1.1081889867782593
755252_2024-12-12,505,2,5,"(2,5)",0.1371,144.561767578125,120.12334558105469,178.22454833984375,-0.14003227651119232,6.511643409729004,-0.29037368297576904,1.030193567276001
804670_2025-09-12,97,2,5,"(2,5)",0.1367,135.23046875,112.43009262084962,166.8102264404297,0.44161340594291687,9.186176300048828,0.11635561287403107,0.8267346620559692
755252_2024-12-11,178,2,5,"(2,5)",0.1365,147.66937255859375,122.79535202026368,182.18894958496094,-0.2310095578432083,6.4274983406066895,0.6919129490852356,0.5989949107170105
804670_2025-09-12,191,2,5,"(2,5)",0.136,94.096435546875,78.29516433715821,116.16493225097656,0.37898868322372437,9.196722030639648,0.2967573404312134,0.7332803606987
804670_2025-09-23,281,2,5,"(2,5)",0.1359,227.75341796875,189.54460510253907,281.22344970703125,0.8823763728141785,13.62037181854248,2.89813494682312,0.5808730125427246
804670_2025-09-27,213,2,5,"(2,5)",0.1357,124.64947509765625,103.76550668334961,153.9547576904297,0.35561779141426086,7.510908603668213,1.0392314195632935,1.8268401622772217
804670_2025-09-12,221,2,5,"(2,5)",0.1354,131.02490234375,109.1063416748047,161.87884521484375,0.24587082862854004,7.8012776374816895,-0.006732389330863953,0.9016715884208679
804670_2025-09-27,420,2,5,"(2,5)",0.1353,117.540771484375,97.88977880859376,145.237060546875,0.3468462824821472,6.128518104553223,3.5571553707122803,1.2468886375427246
804670_2025-09-18,247,2,5,"(2,5)",0.1352,168.48602294921875,140.33214584350586,208.2079315185547,0.07666315883398056,6.698493480682373,-0.1613653302192688,1.6545367240905762
804670_2025-09-11,230,2,5,"(2,5)",0.1351,127.34716796875,106.08144580078125,157.390869140625,0.004328002221882343,8.992752075195312,0.4805529713630676,0.895195722579956
804670_2025-09-23,230,2,5,"(2,5)",0.1347,95.8336181640625,79.87262525939941,118.50537872314453,-0.17324958741664886,6.478280067443848,0.30294179916381836,1.007641315460205
804670_2025-09-13,229,2,5,"(2,5)",0.1346,178.07275390625,148.42757119750976,220.2189483642578,0.0013635060749948025,8.963850021362305,0.1780567765235901,1.0699877738952637
804670_2025-09-12,209,2,5,"(2,5)",0.1346,119.7647705078125,99.8345325012207,148.12245178222656,-0.11721907556056976,7.311405181884766,0.2489374577999115,0.7645817995071411
804670_2025-09-11,229,2,5,"(2,5)",0.1345,59.206787109375,49.355114501953125,73.2271728515625,0.09603305160999298,5.7186455726623535,-0.2408570945262909,0.830898642539978
804670_2025-09-10,139,2,5,"(2,5)",0.1342,94.3837890625,78.71087617492677,116.7817153930664,0.04924258962273598,7.391031742095947,0.4567588269710541,0.7690115571022034
804670_2025-09-27,373,2,5,"(2,5)",0.134,292.4736328125,243.9593270263672,361.95745849609375,-0.3169037103652954,8.643779754638672,1.7416037321090698,1.0206366777420044
804670_2025-09-11,321,2,5,"(2,5)",0.1338,134.1474609375,111.9269271850586,166.06369018554688,0.5464256405830383,11.27324390411377,2.329798698425293,0.519048273563385
804670_2025-09-20,90,2,5,"(2,5)",0.1338,222.7578125,185.85735119628907,275.75274658203125,0.11728299409151077,5.803515911102295,0.5795001983642578,1.1042007207870483
804670_2025-09-19,190,2,5,"(2,5)",0.1326,79.76568603515625,66.6542867126465,98.89360046386719,0.27374520897865295,6.148407936096191,0.5357251167297363,0.9698613286018372
804670_2025-09-17,351,2,5,"(2,5)",0.1322,201.058837890625,168.09927770996094,249.40545654296875,0.056597817689180374,5.807043552398682,0.23311764001846313,1.4421546459197998
804670_2025-09-27,121,2,5,"(2,5)",0.1321,101.43170166015625,84.8107119293213,125.83191680908203,0.2790515720844269,5.82173490524292,1.2655640840530396,0.9533105492591858
804670_2025-09-13,43,2,5,"(2,5)",0.132,105.26715087890625,88.02385903930664,130.5991973876953,0.8562888503074646,11.52920913696289,-0.478346049785614,0.6871453523635864
755252_2024-12-03,387,2,5,"(2,5)",0.1319,90.5833740234375,75.753435836792,112.3938217163086,1.0278123617172241,16.181007385253906,-0.40915557742118835,0.8165563941001892
755252_2024-12-19,490,2,5,"(2,5)",0.1318,120.9151611328125,101.13973901367189,150.0589599609375,-0.3518218994140625,5.195011615753174,-0.4346131384372711,0.934851884841919
804670_2025-09-20,135,2,4,"(2,4)",0.1314,143.1370849609375,119.7863147277832,177.72450256347656,1.0135023593902588,14.215226173400879,2.3316755294799805,0.5670766830444336
804670_2025-09-18,217,2,5,"(2,5)",0.1309,154.99560546875,129.78916131591797,192.56552124023438,-0.20285144448280334,5.439706802368164,1.1360913515090942,1.055215835571289
804670_2025-09-11,94,2,5,"(2,5)",0.1307,227.44384765625,190.50508801269532,282.64849853515625,-0.08369684964418411,8.187239646911621,1.0357574224472046,1.1785907745361328
804670_2025-09-17,82,2,5,"(2,5)",0.1305,140.775634765625,117.93938647460938,174.9842529296875,1.974374771118164,22.306529998779297,-0.05124708265066147,0.5769214034080505
755252_2024-12-13,368,2,5,"(2,5)",0.1305,149.142333984375,124.95198541259767,185.38870239257812,-0.13927148282527924,6.994256973266602,0.10835972428321838,1.1258676052093506
804670_2025-09-27,102,2,5,"(2,5)",0.1304,231.35986328125,193.84493408203127,287.603759765625,-0.030251555144786835,7.256436824798584,2.67608380317688,1.1207789182662964
804670_2025-09-17,219,2,5,"(2,5)",0.1303,154.489501953125,129.46578817749025,192.0857391357422,-0.0989040806889534,5.806075572967529,1.181064486503601,1.0294990539550781
804670_2025-09-17,206,2,5,"(2,5)",0.1303,121.5465087890625,101.85454760742188,151.1195068359375,-0.2654542326927185,5.42673921585083,0.8201733827590942,0.9046820402145386
804670_2025-09-19,86,2,5,"(2,5)",0.1302,115.9229736328125,97.15679763793946,144.14955139160156,0.006861787289381027,7.840053081512451,1.2613612413406372,1.0175763368606567
755252_2024-11-12,484,2,5,"(2,5)",0.13,126.20849609375,105.7996731567383,156.97280883789062,-0.0008143250015564263,5.765008449554443,0.4001844823360443,2.7231578826904297
804670_2025-09-11,3,2,5,"(2,5)",0.13,319.3876953125,267.73960943603515,397.2397766113281,0.506654679775238,10.212592124938965,2.23146653175354,0.7377173900604248
804670_2025-09-11,282,2,4,"(2,4)",0.1299,164.425048828125,137.8492699584961,204.52413940429688,0.17235028743743896,14.459458351135254,0.9082894921302795,1.1962944269180298
804670_2025-09-11,144,2,5,"(2,5)",0.1298,88.99169921875,74.62034944152832,110.71268463134766,0.037979114800691605,5.863046646118164,-0.2025345116853714,1.203917145729065
804670_2025-09-19,196,2,5,"(2,5)",0.1297,122.013671875,102.32295169067383,151.81446838378906,-0.2453792244195938,6.509533405303955,1.1130011081695557,0.825236976146698
755252_2024-12-10,397,2,5,"(2,5)",0.1294,115.17431640625,96.62288177490235,143.35739135742188,0.042795535176992416,7.705836296081543,-0.13286592066287994,1.1318989992141724
804670_2025-09-20,226,2,5,"(2,5)",0.1293,190.2867431640625,159.65474758911134,236.87648010253906,0.19666697084903717,6.5880022048950195,0.9878067374229431,0.8349868059158325
804670_2025-09-27,210,2,5,"(2,5)",0.1292,79.02902221679688,66.31798091125489,98.3946304321289,0.10065437853336334,6.354061603546143,2.384545087814331,1.8571069240570068
755252_2024-12-19,380,2,5,"(2,5)",0.129,132.40374755859375,111.13782391357422,164.89291381835938,-0.10508222877979279,6.642114639282227,-0.09903953969478607,1.128179669380188
755252_2024-12-16,23,2,5,"(2,5)",0.129,119.9239501953125,100.65473587036134,149.33937072753906,0.21015627682209015,8.49067211151123,1.1502352952957153,0.6881439685821533
804670_2025-09-27,291,2,5,"(2,5)",0.1289,57.14202880859375,47.97092875671387,71.1734848022461,-0.27753621339797974,4.751620769500732,0.0759417861700058,0.8460981845855713
755252_2024-12-05,520,2,5,"(2,5)",0.1289,174.81201171875,146.75495364379884,217.73731994628906,0.10745841264724731,5.20712423324585,0.037250716239213943,1.2158160209655762
804670_2025-09-23,219,2,5,"(2,5)",0.1289,102.5006103515625,86.0451358947754,127.66340637207031,-0.23148423433303833,4.279698848724365,-0.20841965079307556,0.9342470765113831
